Sample	Raw reads	Clean reads	Clean uniquely mapped reads 	Percentage of clean uniquely mapped reads	Percentage of clean reads mapped to multiple loci	Percentage of clean reads mapped to too many loci	Percentage of reads unmapped: too many mismatches	 Percentage of reads unmapped: too short	Percentage of reads unmapped: other	Percentage of chimer
AT_11_521_1	56036875	55456452	48645475	87.72	1.57	0	0	10.71	0	0
AT_11_521_2	60318320	59590771	51510172	86.44	1.68	0	0	11.87	0	0
AT_11_521_3	56495661	55895888	47602319	85.16	1.62	0	0	13.21	0	0
AT_11_521_4	240798217	237664326	200916856	84.54	1.59	0	0	13.87	0	0
AT_11_521_5	55646582	55018737	47826323	86.93	1.64	0	0	11.43	0	0
AT2_1_521_1	55739238	54897245	47336531	86.23	1.54	0	0	12.23	0	0
AT2_1_521_2	240798217	58029378	49721998	85.68	1.77	0	0	12.54	0	0
AT2_1_521_3	50964222	50432154	43968986	87.18	1.62	0	0	11.19	0	0
AT2_1_521_4	63889052	63066037	54097273	85.78	1.63	0	0	12.59	0	0
AT2_1_521_5	66967453	66346839	59572727	89.79	2.96	0.01	0	7.23	0	0
AT2_14_729_1	56738243	56249266	48667589	86.52	2.03	0.01	0	11.44	0	0
AT2_14_729_2	71878123	71138655	63862796	89.77	4.21	0.01	0	6.01	0	0
AT2_14_729_3	53608087	52978790	44344592	83.7	1.99	0.01	0	14.3	0	0
AT2_14_729_4	62756263	62069191	54026826	87.04	3.58	0.01	0	9.37	0	0
AT2_14_729_5	58490815	57742188	49878446	86.38	2.3	0	0	11.32	0	0
AT2_2_729_1	54374624	53813285	48706990	90.51	1.63	0	0	7.86	0	0
AT2_2_729_2	54149506	53533758	46497129	86.86	1.71	0	0	11.43	0	0
AT2_2_729_3	59268836	58396200	49253263	84.34	1.51	0	0	14.14	0	0
AT2_2_729_4	56317544	55672128	48034354	86.28	1.48	0	0	12.23	0	0
AT2_2_729_5	60236252	59388956	50827061	85.58	1.79	0	0	12.63	0	0
Col_0_GFP_1	56317235	55780682	47753397	85.61	1.91	0.01	0	12.47	0	0
Col_0_GFP_2	54161994	53594927	46360819	86.5	1.77	0.01	0	11.72	0	0
Col_0_GFP_3	56400563	55693800	48259386	86.65	1.69	0.01	0	11.66	0	0
Col_0_GFP_5	60931634	60458720	52158461	86.27	2.02	0.01	0	11.7	0	0
P1_LINE1_Mlp729_1	60189099	59363113	50868723	85.69	3.76	0.91	0	9.51	0.13	0
P1_LINE1_Mlp729_2	57893692	57407296	47572750	82.87	3.71	1.04	0	12.22	0.16	0
P1_LINE1_Mlp729_3	69328499	68510636	54787682	79.97	3.28	1.48	0	15.08	0.19	0
P1_LINE1_Mlp729_4	55387776	54971478	45098772	82.04	3.45	1.53	0	12.78	0.2	0
P1_LINE1_Mlp729_5	58522476	57952773	46134816	79.61	3.56	1.02	0	15.66	0.15	0
P1_LINE3_729_1	60306105	59702471	48907601	81.92	3.29	2.25	0	12.26	0.28	0
P1_LINE3_729_2	49953527	49313570	39561709	80.22	2.95	0.27	0	16.51	0.06	0
P1_LINE3_729_3	60548893	59732360	47629004	79.74	2.92	0.32	0	16.96	0.07	0
P1_LINE3_729_4	60890886	60077555	49776241	82.85	3.07	0.33	0	13.68	0.07	0
P1_LINE3_729_5	59250853	58413004	47793590	81.82	3.01	0.3	0	14.81	0.06	0
P1_LINE4_521_1	61744655	60785470	51728467	85.1	3.15	0.54	0	11.1	0.11	0
P1_LINE4_521_2	57678639	56659166	44659938	78.82	3.08	0.32	0	17.7	0.08	0
P1_LINE4_521_3	57099240	56482986	45839702	81.16	2.97	0.44	0	15.35	0.09	0
P1_LINE4_521_4	54033541	53493609	45273908	84.63	3.09	0.57	0	11.6	0.1	0
P1_LINE4_521_5	56847062	56068261	45866771	81.81	3.11	0.68	0	14.29	0.11	0
P1_LINE8_521_1	59145415	58380696	48166764	82.5	3.19	0.43	0	13.8	0.08	0
P1_LINE8_521_2	75877288	74879521	60730218	81.1	3.07	0.45	0	15.3	0.08	0
P1_LINE8_521_3	57293567	56568583	45948513	81.23	3.22	1.17	0	14.22	0.17	0
P1_LINE8_521_4	50403353	49899952	41476970	83.12	3.16	0.74	0	12.88	0.11	0
P1_LINE8_521_5	73926374	72917623	59041569	80.97	3.06	0.45	0	15.43	0.08	0
POPLAR_GFP_1	58759321	58047413	47278109	81.45	3.33	1.04	0	14.02	0.17	0
POPLAR_GFP_2	63296742	62526690	49297558	78.84	3.11	0.37	0	17.59	0.09	0
POPLAR_GFP_3	65969370	65126845	50844204	78.07	3.06	0.99	0	17.73	0.15	0
POPLAR_GFP_4	67343432	66466855	52761449	79.38	3.13	0.75	0	16.62	0.13	0
POPLAR_GFP_5	56439259	55732771	45159136	81.03	3.21	0.43	0	15.24	0.09	0
