sampleName	replicate	plantLine
Control	POPLAR_GFP_1	POPLAR_GFP
Control	POPLAR_GFP_2	POPLAR_GFP
Control	POPLAR_GFP_3	POPLAR_GFP
Control	POPLAR_GFP_4	POPLAR_GFP
Control	POPLAR_GFP_5	POPLAR_GFP
Mlp52166	P1_LINE4_521_1	P1_LINE4_521
Mlp52166	P1_LINE4_521_3	P1_LINE4_521
Mlp52166	P1_LINE4_521_4	P1_LINE4_521
Mlp52166	P1_LINE4_521_5	P1_LINE4_521
Mlp52166	P1_LINE8_521_1	P1_LINE8_521
Mlp52166	P1_LINE8_521_2	P1_LINE8_521
Mlp52166	P1_LINE8_521_3	P1_LINE8_521
Mlp52166	P1_LINE8_521_4	P1_LINE8_521
Mlp52166	P1_LINE8_521_5	P1_LINE8_521
Mlp72983	P1_LINE1_Mlp729_1	P1_LINE1_Mlp729
Mlp72983	P1_LINE1_Mlp729_2	P1_LINE1_Mlp729
Mlp72983	P1_LINE1_Mlp729_3	P1_LINE1_Mlp729
Mlp72983	P1_LINE1_Mlp729_4	P1_LINE1_Mlp729
Mlp72983	P1_LINE1_Mlp729_5	P1_LINE1_Mlp729
Mlp72983	P1_LINE3_729_1	P1_LINE3_729
Mlp72983	P1_LINE3_729_2	P1_LINE3_729
Mlp72983	P1_LINE3_729_3	P1_LINE3_729
Mlp72983	P1_LINE3_729_4	P1_LINE3_729
Mlp72983	P1_LINE3_729_5	P1_LINE3_729
