accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR27860505	SRP487929	new	PRJNA1072118	SAMN39734280	Col_0_GFP_1	Col_0_GFP_1	RNAseq of arabidopsis Col-0:  expressing eGFP	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	Col_0_GFP_1_R1.fastq.gz	Col_0_GFP_1_R2.fastq.gz				
SRR27860504	SRP487929	new	PRJNA1072118	SAMN39734281	Col_0_GFP_2	Col_0_GFP_2	RNAseq of arabidopsis Col-0:  expressing eGFP	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	Col_0_GFP_2_R1.fastq.gz	Col_0_GFP_2_R2.fastq.gz				
SRR27860493	SRP487929	new	PRJNA1072118	SAMN39734282	Col_0_GFP_3	Col_0_GFP_3	RNAseq of arabidopsis Col-0:  expressing eGFP	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	Col_0_GFP_3_R1.fastq.gz	Col_0_GFP_3_R2.fastq.gz				
SRR27860482	SRP487929	new	PRJNA1072118	SAMN39734283	AT_11_521_1	AT_11_521_1	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT_11_521_1_R1.fastq.gz	AT_11_521_1_R2.fastq.gz				
SRR27860471	SRP487929	new	PRJNA1072118	SAMN39734284	AT_11_521_2	AT_11_521_2	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT_11_521_2_R1.fastq.gz	AT_11_521_2_R2.fastq.gz				
SRR27860463	SRP487929	new	PRJNA1072118	SAMN39734285	AT_11_521_3	AT_11_521_3	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT_11_521_3_R1.fastq.gz	AT_11_521_3_R2.fastq.gz				
SRR27860462	SRP487929	new	PRJNA1072118	SAMN39734286	AT_11_521_4	AT_11_521_4	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT_11_521_4_R1.fastq.gz	AT_11_521_4_R2.fastq.gz				
SRR27860461	SRP487929	new	PRJNA1072118	SAMN39734287	AT_11_521_5	AT_11_521_5	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT_11_521_5_R1.fastq.gz	AT_11_521_5_R2.fastq.gz				
SRR27860460	SRP487929	new	PRJNA1072118	SAMN39734288	AT2_1_521_1	AT2_1_521_1	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_1_521_1_R1.fastq.gz	AT2_1_521_1_R2.fastq.gz				
SRR27860459	SRP487929	new	PRJNA1072118	SAMN39734289	AT2_1_521_2	AT2_1_521_2	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_1_521_2_R1.fastq.gz	AT2_1_521_2_R2.fastq.gz				
